year,month,day,latitude,longitude,location quality,individuals,source,state,family,species
2017,6,19,23.001849,120.219707,precise,1,TaiRON,found dead,Columbidae,Streptopelia tranquebarica
2017,6,21,23.99329,120.96469,precise,1,TaiRON,found dead,Phasianidae,Arborophila crudigularis
2017,6,21,23.71353818,120.7803856,acceptable,1,Facebook,found dead,Phasianidae,Arborophila crudigularis
2017,6,21,--,--,not provided,1,Facebook,captured: flew away afterward,Ardeidae,Nycticorax nycticorax
2017,6,21,24.61627532,120.7872864,acceptable,1,Facebook,sent to rescue center,Falconidae,Falco peregrinus
2017,6,22,25.00121353,121.5588812,acceptable,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2017,6,22,25.141037,121.799307,precise,1,TaiRON,found dead,Pycnonotidae,Hypsipetes amaurotis
2017,6,24,22.67269,120.39405,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2017,6,25,25.01682,121.5452,precise,1,TaiRON,found dead,Columbidae,Treron sieboldii
2017,6,25,24.82025746,121.794772,precise,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2017,6,25,24.82025746,121.794772,precise,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2017,6,25,24.95081014,121.515384,acceptable,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2017,6,29,24.15769,120.66631,precise,1,TaiRON,found dead,Columbidae,Streptopelia chinensis
2017,6,29,25.2085959,121.6509718,acceptable,1,Facebook,found dead,Columbidae,Streptopelia chinensis
2017,6,29,25.2085959,121.6509718,acceptable,1,Facebook,captured: flew away afterward,Columbidae,Streptopelia chinensis
2017,6,30,24.47239,118.41734,precise,1,TaiRON,found dead,Cuculidae,Clamator coromandus
2017,6,30,--,--,not provided,1,Facebook,flew away,Alcedinidae,Alcedo atthis
2017,6,--,23.71335642,120.7804672,acceptable,1,Facebook,sent to rescue center: released after rehabilitation,Columbidae,Chalcophaps indica
2017,7,1,23.26609951,120.4822288,acceptable,1,Facebook,flew away,Megalaimidae,Psilopogon nuchalis
2017,7,2,22.97242936,120.2218949,vague,1,Facebook,flew away,Sturnidae,Aplonis panayensis
2017,7,5,22.21784,120.79528,precise,1,TaiRON,found dead,Pittidae,Pitta nympha
2017,7,8,22.93552921,121.1319989,precise,1,Facebook,found dead,Columbidae,Chalcophaps indica
2017,7,10,23.59877,120.58709,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2017,7,12,24.12698,120.68457,precise,1,TaiRON,found dead,Accipitridae,Accipiter trivirgatus
2017,7,13,23.8474567,120.6956762,precise,1,Facebook,found dead,Zosteropidae,Zosterops simplex
2017,7,15,22.79223446,121.1156865,precise,1,Facebook,found dead,Accipitridae,Accipiter trivirgatus
2017,7,15,24.018596,120.533581,precise,1,Facebook,found dead,Zosteropidae,Zosterops simplex
2017,7,16,23.335066,121.31738,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2017,7,17,23.09300619,121.3606541,vague,1,Facebook,captured: flew away afterward,Columbidae,Chalcophaps indica
2017,7,21,23.1603229,120.2460228,acceptable,1,Facebook,sent to rescue center: released after rehabilitation,Accipitridae,Accipiter trivirgatus
2017,7,22,--,--,not provided,1,Facebook,found dead,Passeridae,Passer montanus
2017,7,24,23.73746,120.75993,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2017,7,25,--,--,not provided,1,Facebook,found dead,Columbidae,Chalcophaps indica
2017,7,25,22.6639493,120.5039678,precise,1,Facebook,flew away,Rallidae,Amaurornis phoenicurus
2017,7,28,24.78626734,121.0204564,precise,1,Facebook,captured,Columbidae,Streptopelia tranquebarica
2017,7,30,--,--,not provided,1,Facebook,found dead,Passeridae,Passer montanus
2017,8,3,--,--,not provided,1,Facebook,uncertain,Columbidae,Chalcophaps indica
2017,8,3,--,--,not provided,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2017,8,5,23.13333,121.21157,precise,1,TaiRON,found dead,Estrildidae,Lonchura punctulata
2017,8,5,22.619748,120.339962,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2017,8,7,22.84548704,121.1881989,precise,1,Facebook,captured: released afterward,Alcedinidae,Alcedo atthis
2017,8,7,22.627242,120.287317,precise,2,TaiRON,found dead,Sturnidae,Aplonis panayensis
2017,8,10,23.94268531,120.9369262,precise,1,Facebook,captured,Megalaimidae,Psilopogon nuchalis
2017,8,12,22.93552921,121.1319989,precise,1,Facebook,captured,Megalaimidae,Psilopogon nuchalis
2017,8,12,25.02557,121.73881,precise,1,TaiRON,found dead,Corvidae,Urocissa caerulea
2017,8,13,24.96010562,121.3904765,vague,1,Facebook,flew away,Muscicapidae,Myophonus insularis
2017,8,19,23.88362,121.52489,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2017,8,21,--,--,not provided,1,Facebook,found dead,Turnicidae,Turnix suscitator
2017,8,26,23.18613,120.37616,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2017,8,28,--,--,not provided,1,Facebook,found dead,Pycnonotidae,Pycnonotus sinensis
2017,8,29,--,--,not provided,1,Facebook,uncertain,Columbidae,Streptopelia chinensis
2017,8,29,24.15854,120.6781,precise,1,TaiRON,found dead,Passeridae,Passer montanus
2017,8,29,24.95259,121.25053,precise,1,TaiRON,found dead,Columbidae,Streptopelia chinensis
2017,8,30,22.6422704,120.3492351,precise,1,Facebook,captured,Columbidae,Streptopelia chinensis
2017,8,30,23.93404831,120.5502802,acceptable,1,Facebook,captured: released afterward,Estrildidae,Lonchura punctulata
2017,8,31,24.53341,120.9266,precise,1,TaiRON,found dead,Alcedinidae,Alcedo atthis
2017,9,3,24.255021,121.251156,precise,1,TaiRON,found dead,Laniidae,Lanius cristatus
2017,9,11,24.13056298,120.7502414,precise,1,Facebook,sent to rescue center,Columbidae,Chalcophaps indica
2017,9,14,24.8485147,121.5517142,precise,1,Facebook,captured: flew away afterward,Megalaimidae,Psilopogon nuchalis
2017,9,16,25.01418106,121.8246865,acceptable,1,Facebook,captured: released afterward,Alcedinidae,Alcedo atthis
2017,9,21,23.9997,121.57401,precise,1,TaiRON,found dead,Alcedinidae,Halcyon coromanda
2017,9,26,22.73387949,120.3284854,acceptable,1,Facebook,sent to rescue center,Cuculidae,Clamator coromandus
2017,10,3,23.26091,121.2995,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2017,10,4,--,--,not provided,1,Facebook,flew away,Alcedinidae,Halcyon coromanda
2017,10,5,--,--,not provided,1,Facebook,sent to rescue center,Cuculidae,Cuculus optatus
2017,10,5,22.73792,121.06563,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2017,10,8,--,--,not provided,1,Facebook,captured: flew away afterward,Ardeidae,Gorsachius melanolophus
2017,10,18,25.16177726,121.7644678,vague,1,Facebook,captured,Strigidae,Ninox japonica
2017,10,19,23.99915,121.5757,precise,1,TaiRON,found dead,Cuculidae,Cuculus optatus
2017,10,19,25.03446,121.38967,precise,1,TaiRON,found dead,Phylloscopidae,Phylloscopus borealis complex
2017,10,22,24.02256,120.54207,precise,1,TaiRON,found dead,Passeridae,Passer montanus
2017,10,24,24.83577553,121.0034683,acceptable,1,Facebook,found dead,Accipitridae,Accipiter trivirgatus
2017,10,25,24.83651021,121.0039255,acceptable,1,Facebook,found dead,Accipitridae,Accipiter trivirgatus
2017,10,26,24.24877037,120.9222477,precise,1,Facebook,uncertain,Muscicapidae,Tarsiger johnstoniae
2017,10,26,24.8042,121.03614,precise,1,TaiRON,found dead,Scotocercidae,Urosphena squameiceps
2017,10,26,24.00021,120.596978,precise,1,TaiRON,found dead,Accipitridae,Accipiter trivirgatus
2017,10,27,24.01735247,121.5956014,precise,1,Facebook,captured: released afterward,Alcedinidae,Alcedo atthis
2017,10,29,25.077752,121.231105,precise,1,TaiRON,found dead,Hirundinidae,Hirundo rustica
2017,10,30,--,--,not provided,1,Facebook,captured: flew away afterward,Scotocercidae,Urosphena squameiceps
2017,10,30,25.15103,121.77528,precise,1,TaiRON,found dead,Emberizidae,Emberiza rustica
2017,10,--,24.41642393,118.4364295,vague,1,Facebook,sent to rescue center: released after rehabilitation,Falconidae,Falco tinnunculus
2017,10,--,--,--,not provided,1,Facebook,sent to rescue center: released after rehabilitation,Strigidae,Ninox japonica
2017,10,--,--,--,not provided,1,Facebook,sent to rescue center,Strigidae,Ninox japonica
2017,10,--,--,--,not provided,1,Facebook,sent to rescue center,Strigidae,Ninox japonica
2017,10,--,--,--,not provided,2,Facebook,sent to rescue center: dead afterward,Strigidae,Ninox japonica
2017,11,2,--,--,not provided,1,Facebook,sent to rescue center,Accipitridae,Accipiter virgatus
2017,11,2,24.45009,120.87864,precise,1,TaiRON,found dead,Columbidae,Streptopelia orientalis
2017,11,5,--,--,not provided,1,Facebook,captured,Megalaimidae,Psilopogon nuchalis
2017,11,6,25.07760126,121.5700437,precise,1,Facebook,sent to rescue center,Accipitridae,Accipiter virgatus
2017,11,7,--,--,not provided,1,Facebook,captured: released afterward,Passeridae,Passer montanus
2017,11,7,23.52139,120.38611,precise,1,TaiRON,found dead,Passeridae,Passer montanus
2017,11,8,23.5886047,120.2912868,precise,1,Facebook,uncertain,Sturnidae,Acridotheres tristis
2017,11,9,24.138999,120.68039,precise,1,TaiRON,found dead,Columbidae,Streptopelia chinensis
2017,11,9,23.79543164,120.932586,acceptable,1,Facebook,found dead,Muscicapidae,Myiomela leucura
2017,11,9,--,--,not provided,1,Facebook,sent to rescue center,Alcedinidae,Halcyon coromanda
2017,11,10,22.86609971,121.1081434,vague,1,Facebook,found dead,Muscicapidae,Myophonus insularis
2017,11,11,25.03449,121.38939,precise,1,TaiRON,found dead,Zosteropidae,Zosterops simplex
2017,11,14,24.99733,121.32013,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2017,11,14,22.74843867,120.4459646,precise,1,Facebook,captured,Columbidae,Columba livia
2017,11,16,23.365901,121.32627,precise,1,TaiRON,found dead,Accipitridae,Accipiter trivirgatus
2017,11,17,23.931563,120.693971,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2017,11,19,24.25546,121.00815,precise,1,TaiRON,found dead,Muscicapidae,Niltava vivida
2017,11,19,23.92264,120.88628,precise,1,TaiRON,found dead,Muscicapidae,Myiomela leucura
2017,11,20,24.99957,121.32709,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2017,11,21,23.904188,121.531479,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2017,11,22,24.71456,121.69238,precise,1,TaiRON,found dead,Turdidae,Turdus pallidus
2017,11,26,25.0879095,121.5068,precise,1,Facebook,sent to rescue center,Columbidae,Streptopelia orientalis
2017,11,26,23.06117257,121.1626767,precise,1,Facebook,uncertain,Megalaimidae,Psilopogon nuchalis
2017,11,27,23.46446496,121.3554039,precise,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2017,11,28,24.23339,120.79586,precise,1,Facebook,uncertain,Pycnonotidae,Hypsipetes leucocephalus
2017,11,29,25.0224,121.22136,precise,1,TaiRON,found dead,Turdidae,Turdus pallidus
2017,11,--,--,--,not provided,1,Facebook,sent to rescue center,Ardeidae,Nycticorax nycticorax
2017,12,2,24.15722515,120.6804898,precise,1,Facebook,sent to rescue center,Accipitridae,Accipiter trivirgatus
2017,12,2,22.61969,120.27411,precise,1,TaiRON,found dead,Passeridae,Passer montanus
2017,12,5,24.621749,121.835286,precise,1,TaiRON,found dead,Turdidae,Turdus pallidus
2017,12,5,23.467338,120.483354,precise,1,TaiRON,found dead,Alcedinidae,Alcedo atthis
2017,12,7,24.24655,120.83292,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2017,12,7,23.60439823,120.6321106,acceptable,1,Facebook,found dead,Columbidae,Chalcophaps indica
2017,12,8,22.86567364,121.1080868,vague,1,Facebook,found dead,Turdidae,Turdus chrysolaus
2017,12,8,24.74625,121.7474,precise,1,TaiRON,found dead,Turdidae,Turdus pallidus
2017,12,8,24.737191,121.123315,precise,1,TaiRON,found dead,Scotocercidae,Horornis canturians
2017,12,10,25.04878,121.61293,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2017,12,11,23.13351,121.21164,precise,1,TaiRON,found dead,Turdidae,Turdus pallidus
2017,12,11,--,--,not provided,1,Facebook,found dead,Turdidae,Zoothera aurea
2017,12,11,23.44628264,120.5858731,vague,1,Facebook,uncertain,Laniidae,Lanius cristatus
2017,12,14,24.48389776,120.7077123,acceptable,1,Facebook,sent to rescue center,Accipitridae,Accipiter virgatus
2017,12,14,23.66753,120.47501,precise,1,TaiRON,found dead,Turdidae,Turdus chrysolaus
2017,12,15,24.782027,120.919248,precise,1,TaiRON,found dead,Turdidae,Zoothera aurea
2017,12,17,23.95439408,121.5489134,precise,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2017,12,18,24.16268854,120.6403024,acceptable,1,Facebook,captured: flew away afterward,Estrildidae,Lonchura punctulata
2017,12,18,24.16268854,120.6403024,acceptable,1,Facebook,found dead,Estrildidae,Lonchura punctulata
2017,12,19,23.918256,121.501893,precise,1,TaiRON,found dead,Accipitridae,Accipiter trivirgatus
2017,12,19,23.94784708,120.9556889,vague,2,Facebook,found dead,Motacillidae,Anthus hodgsoni
2017,12,21,25.03977,121.52743,precise,1,TaiRON,found dead,Turdidae,Turdus pallidus
2017,12,21,25.017064,121.311188,precise,1,TaiRON,found dead,Columbidae,Streptopelia chinensis
2017,12,22,24.701743,121.0677437,precise,1,Facebook,captured: released afterward,Pycnonotidae,Hypsipetes leucocephalus
2017,12,25,--,--,not provided,1,Facebook,uncertain,Columbidae,Streptopelia sp.
2017,12,25,22.63083,120.31667,precise,1,TaiRON,found dead,Columbidae,Columba livia
2017,12,29,25.00769196,121.5050698,acceptable,1,Facebook,captured: flew away afterward,Columbidae,Streptopelia chinensis
2017,12,30,24.424635,121.013349,precise,1,TaiRON,found dead,Accipitridae,Accipiter trivirgatus
2017,12,31,24.80067259,120.9982514,acceptable,1,Facebook,captured,Muscicapidae,Niltava vivida
2017,12,--,23.82816437,120.8015758,acceptable,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2017,12,--,--,--,not provided,1,Facebook,found dead,Identified to Class: Aves,Identified to Class: Aves
2017,--,--,--,--,not provided,1,Facebook,sent to rescue center,Sturnidae,Acridotheres cristatellus
2017,--,--,25.08882004,121.5917641,acceptable,1,Facebook,found dead,Corvidae,Urocissa caerulea
2017,--,--,24.00006401,121.5741933,acceptable,1,Facebook,uncertain,Alcedinidae,Halcyon coromanda
2017,--,--,24.00006401,121.5741933,acceptable,1,Facebook,uncertain,Columbidae,Streptopelia chinensis
2017,--,--,24.00006401,121.5741933,acceptable,1,Facebook,uncertain,Muscicapidae,Monticola solitarius
2018,1,2,22.88537243,120.5796753,acceptable,1,Facebook,captured: released afterward,Megalaimidae,Psilopogon nuchalis
2018,1,4,24.75714,121.01222,precise,2,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2018,1,7,22.56525,120.34184,precise,1,TaiRON,found dead,Columbidae,Streptopelia chinensis
2018,1,8,22.79418,120.26902,precise,1,TaiRON,found dead,Passeridae,Passer montanus
2018,1,10,--,--,not provided,2,Facebook,captured: flew away afterward,Passeridae,Passer montanus
2018,1,11,--,--,not provided,1,Facebook,captured,Megalaimidae,Psilopogon nuchalis
2018,1,11,--,--,not provided,1,Facebook,uncertain,Columbidae,Identified to Family: Columbidae
2018,1,11,25.28925,121.54484,precise,1,TaiRON,found dead,Accipitridae,Accipiter trivirgatus
2018,1,12,--,--,not provided,1,Facebook,found dead,Turdidae,Zoothera aurea
2018,1,12,23.20878246,121.3982645,acceptable,1,Facebook,found dead,Columbidae,Chalcophaps indica
2018,1,12,22.970862,121.304035,precise,1,TaiRON,found dead,Turdidae,Zoothera sp.
2018,1,13,--,--,not provided,1,Facebook,captured: flew away afterward,Columbidae,Chalcophaps indica
2018,1,13,23.59034,120.30765,precise,1,TaiRON,found dead,Hirundinidae,Hirundo tahitica
2018,1,15,24.624909,121.148178,precise,1,TaiRON,found dead,Motacillidae,Motacilla cinerea
2018,1,16,--,--,not provided,1,Facebook,flew away,Passeridae,Passer montanus
2018,1,16,--,--,not provided,2,Facebook,flew away,Estrildidae,Lonchura punctulata
2018,1,16,24.974455,121.251071,precise,1,TaiRON,found dead,Columbidae,Streptopelia chinensis
2018,1,17,24.54461,120.85613,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2018,1,19,23.59643,120.57385,precise,1,TaiRON,found dead,Turdidae,Turdus chrysolaus
2018,1,19,--,--,not provided,1,Facebook,captured: released afterward,Zosteropidae,Zosterops simplex
2018,1,21,23.04574,121.15321,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2018,1,21,24.54551,120.86003,precise,2,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2018,1,21,24.000396,120.598147,precise,1,TaiRON,found dead,Accipitridae,Accipiter trivirgatus
2018,1,23,23.825232,120.803297,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2018,1,23,24.80282163,120.9778362,precise,1,Facebook,sent to rescue center: released after rehabilitation,Megalaimidae,Psilopogon nuchalis
2018,1,28,25.14241456,121.50916,acceptable,1,Facebook,found dead,Columbidae,Chalcophaps indica
2018,1,28,24.94355,121.36994,precise,1,TaiRON,found dead,Columbidae,Streptopelia orientalis
2018,1,29,23.897746,121.54019,precise,1,TaiRON,found dead,Phasianidae,Phasianus colchicus
2018,2,5,22.665117,120.424841,precise,1,TaiRON,found dead,Caprimulgidae,Caprimulgus affinis
2018,2,6,23.01972,121.32306,precise,1,TaiRON,found dead,Turdidae,Zoothera aurea
2018,2,6,22.62348,120.29791,precise,1,TaiRON,found dead,Columbidae,Streptopelia chinensis
2018,2,8,--,--,not provided,1,Facebook,found dead,Pycnonotidae,Pycnonotus sinensis
2018,2,8,--,--,not provided,1,Facebook,flew away,Passeridae,Passer montanus
2018,2,12,22.98763,120.2631,precise,1,TaiRON,found dead,Phasianidae,Phasianus colchicus
2018,2,21,23.82819676,120.8015876,precise,1,Facebook,found dead,Columbidae,Treron sieboldii
2018,2,21,23.46819,120.48388,precise,1,TaiRON,found dead,Pycnonotidae,Hypsipetes leucocephalus
2018,2,27,23.66773,120.47447,precise,1,TaiRON,found dead,Pycnonotidae,Pycnonotus sinensis
2018,3,6,23.308063,120.309339,precise,1,TaiRON,found dead,Phasianidae,Phasianus colchicus
2018,3,8,--,--,not provided,1,Facebook,sent to rescue center,Accipitridae,Accipiter trivirgatus
2018,3,9,23.53407028,120.45621,acceptable,1,Facebook,captured: flew away afterward,Passeridae,Passer montanus
2018,3,16,22.77027518,121.126905,acceptable,2,Facebook,found dead,Pycnonotidae,Pycnonotus taivanus
2018,3,17,--,--,not provided,1,Facebook,found dead,Accipitridae,Accipiter virgatus
2018,3,17,--,--,not provided,1,Facebook,captured,Alcedinidae,Alcedo atthis
2018,3,17,23.286639,120.190389,precise,1,Facebook,captured,Alcedinidae,Alcedo atthis
2018,3,18,23.45308,120.55882,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2018,3,20,23.26609951,120.4822288,acceptable,1,Facebook,captured,Monarchidae,Hypothymis azurea
2018,3,20,23.66767,120.47454,precise,1,TaiRON,found dead,Columbidae,Streptopelia tranquebarica
2018,3,21,24.08008636,120.6405211,precise,2,Facebook,found dead,Pycnonotidae,Pycnonotus sinensis
2018,3,21,24.450149,120.878441,precise,1,TaiRON,found dead,Columbidae,Streptopelia orientalis
2018,3,26,22.95025312,121.1303435,precise,1,Facebook,found dead,Phasianidae,Bambusicola sonorivox
2018,3,28,24.24672,120.83253,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2018,3,28,24.621263,121.835327,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2018,3,28,23.713148,120.780397,precise,1,TaiRON,found dead,Leiothrichidae,Heterophasia auricularis
2018,3,29,25.0525323,121.5586672,precise,1,Facebook,captured,Columbidae,Streptopelia chinensis
2018,3,29,23.53884067,120.672114,precise,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2018,3,31,25.07561,121.36711,precise,1,TaiRON,found dead,Turdidae,Turdus pallidus
2018,4,2,--,--,not provided,1,Facebook,flew away,Columbidae,Chalcophaps indica
2018,4,2,24.61409065,121.8530042,acceptable,1,Facebook,captured,Pycnonotidae,Hypsipetes leucocephalus
2018,4,2,23.41667,121.37064,precise,1,TaiRON,found dead,Accipitridae,Accipiter trivirgatus
2018,4,5,--,--,not provided,1,Facebook,captured,Columbidae,Streptopelia chinensis
2018,4,6,22.93031,120.35101,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2018,4,6,23.45711,120.90686,precise,1,TaiRON,found dead,Muscicapidae,Niltava vivida
2018,4,7,23.9815,121.012917,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2018,4,8,23.918272,121.501654,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2018,4,12,--,--,not provided,1,Facebook,flew away,Scotocercidae,Horornis acanthizoides
2018,4,16,23.57017,119.5809851,acceptable,1,Facebook,captured: flew away afterward,Accipitridae,Accipiter soloensis
2018,4,17,23.66329421,119.569168,acceptable,1,Facebook,captured: flew away afterward,Accipitridae,Accipiter soloensis
2018,4,21,--,--,not provided,1,Facebook,found dead,Columbidae,Streptopelia orientalis
2018,4,21,22.95025312,121.1303435,precise,1,Facebook,found dead,Pycnonotidae,Hypsipetes leucocephalus
2018,4,21,24.73172,121.70694,precise,1,TaiRON,found dead,Columbidae,Streptopelia tranquebarica
2018,4,22,22.95025312,121.1303435,precise,1,Facebook,found dead,Columbidae,Chalcophaps indica
2018,4,22,25.01807635,121.6294912,precise,1,Facebook,captured,Megalaimidae,Psilopogon nuchalis
2018,4,24,--,--,not provided,1,Facebook,captured,Alcedinidae,Alcedo atthis
2018,4,24,--,--,not provided,1,Facebook,flew away,Passeridae,Passer montanus
2018,4,25,22.906636,121.090785,precise,1,TaiRON,found dead,Alcedinidae,Halcyon coromanda
2018,4,25,21.986103,120.712569,precise,1,TaiRON,found dead,Alcedinidae,Halcyon coromanda
2018,4,26,25.0501525,121.2972438,precise,1,Facebook,flew away,Columbidae,Streptopelia chinensis
2018,4,28,--,--,not provided,1,Facebook,found dead,Zosteropidae,Zosterops simplex
2018,4,28,24.98473551,121.5779499,acceptable,1,Facebook,captured,Muscicapidae,Myophonus insularis
2018,4,30,25.13299,121.53042,precise,1,TaiRON,found dead,Pycnonotidae,Hypsipetes leucocephalus
2018,5,1,24.67346,121.00062,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2018,5,3,23.95679915,121.5000643,precise,1,Facebook,captured: released afterward,Alcedinidae,Halcyon coromanda
2018,5,5,23.07985826,120.3731089,vague,1,Facebook,found dead,Columbidae,Chalcophaps indica
2018,5,5,22.60401,120.3038,precise,1,TaiRON,found dead,Turdidae,Zoothera aurea
2018,5,6,--,--,not provided,1,Facebook,sent to rescue center,Alcedinidae,Halcyon coromanda
2018,5,11,23.4575,120.15167,precise,1,TaiRON,found dead,Hirundinidae,Hirundo rustica
2018,5,12,22.67287909,120.4846919,precise,2,Facebook,captured: released afterward,Pycnonotidae,Pycnonotus sinensis
2018,5,13,25.04775865,121.6106724,precise,1,Facebook,found dead,Estrildidae,Lonchura punctulata
2018,5,14,24.17151,120.89566,precise,1,TaiRON,found dead,Hirundinidae,Hirundo rustica
2018,5,14,23.82842,120.80121,precise,1,TaiRON,found dead,Estrildidae,Lonchura striata
2018,5,14,24.79058794,120.9960987,precise,1,Facebook,flew away,Alcedinidae,Halcyon coromanda
2018,5,18,25.01682926,121.5376266,precise,1,Facebook,found dead,Columbidae,Streptopelia orientalis
2018,5,19,25.01757618,121.5353453,precise,1,Facebook,found dead,Dicruridae,Dicrurus macrocercus
2018,5,19,25.01738,121.53563,precise,1,TaiRON,found dead,Dicruridae,Dicrurus macrocercus
2018,5,20,24.72494,121.78031,precise,1,TaiRON,found dead,Passeridae,Passer montanus
2018,5,21,--,--,not provided,1,Facebook,uncertain,Passeridae,Passer montanus
2018,5,24,23.59641193,120.5747926,acceptable,1,Facebook,captured: flew away afterward,Pycnonotidae,Pycnonotus sinensis
2018,5,24,25.11007587,121.8451543,precise,2,Facebook,captured,Hirundinidae,Hirundo rustica
2018,5,27,23.95521252,120.92587,vague,1,Facebook,sent to rescue center,Accipitridae,Accipiter trivirgatus
2018,5,28,23.020336,121.325058,precise,1,TaiRON,found dead,Alcedinidae,Alcedo atthis
2018,5,30,--,--,not provided,1,Facebook,captured: released afterward,Alcedinidae,Alcedo atthis
2018,5,30,22.60208,120.38913,precise,1,TaiRON,found dead,Ardeidae,Nycticorax nycticorax
2018,6,3,24.87378697,121.0916661,precise,1,Facebook,captured: flew away afterward,Alcedinidae,Alcedo atthis
2018,6,4,24.15067,120.68709,precise,1,TaiRON,found dead,Passeridae,Passer montanus
2018,6,4,23.465103,120.439794,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2018,6,5,--,--,not provided,1,Facebook,uncertain,Pycnonotidae,Pycnonotus sinensis
2018,6,6,25.05863,121.38825,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2018,6,9,24.22152253,120.7882746,precise,1,Facebook,flew away,Timaliidae,Pomatorhinus musicus
2018,6,10,--,--,not provided,1,Facebook,captured: released afterward,Alcedinidae,Alcedo atthis
2018,6,10,25.00657813,121.4560022,precise,1,Facebook,captured: released afterward,Passeridae,Passer montanus
2018,6,11,--,--,not provided,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2018,6,12,23.5966,120.57454,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2018,6,13,--,--,not provided,1,Facebook,captured,Columbidae,Streptopelia chinensis
2018,6,14,--,--,not provided,1,Facebook,flew away,Muscicapidae,Tarsiger johnstoniae
2018,6,19,--,--,not provided,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2018,6,19,24.22934922,120.6436256,acceptable,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2018,6,21,--,--,not provided,1,Facebook,found dead,Passeridae,Passer montanus
2018,6,26,23.82877,120.80117,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2018,6,30,25.04083,121.28811,precise,1,TaiRON,found dead,Passeridae,Passer montanus
2018,7,1,23.68873,120.79075,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2018,7,2,23.59645,120.57475,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2018,7,3,24.6249,121.14813,precise,1,TaiRON,found dead,Timaliidae,Cyanoderma ruficeps
2018,7,4,--,--,not provided,1,Facebook,captured: flew away afterward,Columbidae,Chalcophaps indica
2018,7,5,--,--,not provided,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2018,7,8,23.42124735,120.1554021,precise,1,Facebook,captured: released afterward,Alcedinidae,Alcedo atthis
2018,7,9,--,--,not provided,1,Facebook,found dead,Passeridae,Passer montanus
2018,7,10,23.82825,120.80134,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2018,7,10,24.55446,120.81218,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2018,7,11,24.592244,121.8527435,precise,1,Facebook,captured,Alcedinidae,Alcedo atthis
2018,7,12,25.02021,121.54348,precise,1,TaiRON,found dead,Zosteropidae,Zosterops simplex
2018,7,12,25.02046,121.54326,precise,1,TaiRON,found dead,Zosteropidae,Zosterops simplex
2018,7,12,23.98641659,120.9403826,precise,1,Facebook,captured: flew away afterward,Alcedinidae,Alcedo atthis
2018,7,13,--,--,not provided,1,Facebook,uncertain,Pycnonotidae,Pycnonotus sinensis
